"region","mean","median","ci.lb","ci.ub","n"
"C:P","C:P","C:P","C:P","C:P","C:P"
"Polar","82.8","77.7","63.1","125.3","16"
"Subpolar","133.7","134.7","65.5","198","129"
"Subtropical","148.1","147.5","64.5","228.6","1005"
"Tropical","129.4","126","70.5","185","820"
"N:P","N:P","N:P","N:P","N:P","N:P"
"Polar","14.1","13.2","10.1","19.1","16"
"Subpolar","21.5","21.6","15.2","28.7","129"
"Subtropical","22.1","22","12.5","31.4","1005"
"Tropical","19.7","19","11.8","27.5","820"
"C:N","C:N","C:N","C:N","C:N","C:N"
"Polar","5.7","5.7","5.4","6.1","16"
"Subpolar","6.2","6.1","5","7.3","129"
"Subtropical","6.7","6.7","5","8.9","1005"
"Tropical","6.6","6.6","5","8.4","820"
